url	first_seen	source	title	company	status
https://freelanceservicesindia.com/	2026-04-06	Google-Corporate	Corporate Video Production Services Delhi NCR	Freelance Services India	added
https://www.mediandesigns.com/training-videos/	2026-04-06	Google-Corporate	Training & CSR Video Maker Delhi NCR	Media Designs	added
https://skittlesproductions.com/corporate-video-production	2026-04-06	Google-Corporate	Corporate Video Production Delhi NCR	Skittles Productions	added
https://morestudios.in/corporate-video-production-company-delhi-ncr.html	2026-04-06	Google-Corporate	Corporate Video Production Company Delhi NCR	MoreStudios	added
https://www.thevisualhouse.in/corporate-film-makers-delhi.php	2026-04-06	Google-Corporate	Corporate Film Makers Delhi NCR	The Visual House	added
https://www.zakmedios.com/	2026-04-06	Google-Corporate	Corporate Video Makers Delhi	ZakMedios	added
https://moveemerchant.com/best-corporate-film-makers-corporate-video-production-company-in-delhi-ncr/	2026-04-06	Google-Corporate	Corporate Film Makers Delhi NCR	Movee Merchant	added
https://shrihariproductions.com/corporate-video-production/	2026-04-06	Google-Corporate	Corporate Video Production Gurgaon Delhi NCR	Shrihari Productions	added
https://flowinkpictures.com/services/corporate-films-production-company-in-delhi-ncr/	2026-04-06	Google-Corporate	Corporate Films Production Delhi NCR	Flowink Pictures	added
https://www.cellardoorstudios.in/podcast-studios	2026-04-06	Google-Studio	Premium Podcast Studios Delhi NCR Gurgaon	Cellar Door Studios	added
https://www.ragfocustudio.in/	2026-04-06	Google-Studio	Chroma Studio & Podcast Studio Gurgaon	RAG Focus Studio	added
https://www.dawarstudios.com/podcast-studio-on-rent-in-gurgaon	2026-04-06	Google-Studio	Podcast Studio on Rent Gurgaon	Dawar Studios	added
https://www.crazistudio.com/podcast-studio-cost-in-delhi-ncr-what-businesses-actually-need-to-know-before-booking/	2026-04-06	Google-Studio	Podcast Studio Cost Delhi NCR	Crazi Studio	added
https://www.nibbleandpixel.com/podcast-studio-on-rent-delhi-ncr	2026-04-06	Google-Studio	Podcast Studio on Rent Delhi NCR	Nibble and Pixel	added
https://www.stillandmotion.com/podcast-studio-on-rent	2026-04-06	Google-Studio	Podcast Studio on Rent Delhi	Still and Motion	added
https://swastikafilms.com/podcast-production-studio-delhi/	2026-04-06	Google-Studio	Podcast Production Studio Delhi	Swastika Films	added
https://www.thepodcaststudio.co.in/	2026-04-06	Google-Studio	The Podcast Studio Delhi	The Podcast Studio	added
https://cbnindia.org/studio-hire/	2026-04-06	Google-Studio	Studio Hire Gurgaon	CBN India	added
https://www.indiamart.com/proddetail/video-production-services-24302158762.html	2026-04-06	IndiaMART	Video Production Services Gurgaon	Viacom India LLP	added
https://dir.indiamart.com/impcat/corporate-videos-service.html	2026-04-06	IndiaMART	Corporate Videos Service Directory	IndiaMART Directory	added
https://www.damsdelhi.com/	2026-04-06	Google-MedEd	NEET PG & USMLE Coaching - Potential Video Client	DAMS Delhi	added
https://icmeindia.com/	2026-04-06	Google-MedEd	Medical Education Institute - Potential Video Client	ICME India	added
https://www.osmosis.org/	2026-04-06	Google-MedEd	Medical Education Video Platform	Osmosis	added
https://www.upwork.com/hire/video-producers/in/delhi/	2026-04-06	Upwork	Video Producers for Hire Delhi	Upwork Directory	added
https://www.upwork.com/hire/video-producers/in/gurgaon/	2026-04-06	Upwork	Video Producers for Hire Gurgaon	Upwork Directory	added
https://www.upwork.com/freelance-jobs/podcast-production/	2026-04-06	Upwork	Podcast Production Jobs	Upwork Jobs	added
https://www.fiverr.com/categories/music-audio/podcast-editing	2026-04-06	Fiverr	Podcast Editing Services	Fiverr Directory	added
https://dir.indiamart.com/impcat/wedding-videography.html	2026-04-06	IndiaMART	Wedding Videography Services	IndiaMART Directory	skipped_title
https://www.tgcindia.com/course/video-editing-course-in-delhi	2026-04-06	Google-EdTech	Video Editing Course Delhi	TGC India	skipped_title
https://www.videoeditinginstitute.com/	2026-04-06	Google-EdTech	Video Editing Institute Rohini Delhi	Video Editing Institute	skipped_title
https://www.admecindia.co.in/courses/video-editing-courses/	2026-04-06	Google-EdTech	Video Editing Courses Delhi	ADMEC	skipped_title
https://www.nimc-india.com/diploma-in-video-camera-production.html	2026-04-06	Google-EdTech	Diploma Video Production	NIMC India	skipped_title
https://ifdainstitute.com/courses/video-editing-course	2026-04-06	Google-EdTech	Video Editing Course Kalkaji	IFDA Institute	skipped_title
https://aaft.com/schoolofcinema/video-editing-sound-recording	2026-04-06	Google-EdTech	Video Editing & Sound Recording Course	AAFT	skipped_title
